                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.93439,                0.71999,                  1.161,                0.90004,                0.80641,                 0.8919,                0.59926,                 1.2567,                 0.7265,                 1.5333,             0.00092206,             0.00092206,             0.00092206
                    108,                 0.9568,                0.70136,                 1.1705,                0.85633,                0.82825,                0.86225,                0.54342,                 1.4527,                0.84127,                 1.7572,             0.00091897,             0.00091897,             0.00091897
                    109,                0.98368,                0.77536,                 1.1982,                0.88341,                0.81097,                0.88594,                0.56318,                 1.2724,                 0.7717,                  1.558,             0.00091588,             0.00091588,             0.00091588
                    110,                0.97987,                0.74614,                 1.1887,                0.85476,                0.82693,                0.91197,                0.59595,                 1.2884,                0.78922,                 1.5575,             0.00091278,             0.00091278,             0.00091278
                    111,                0.98855,                0.74423,                 1.1905,                0.86245,                0.86338,                0.90817,                0.58952,                 1.2789,                0.74633,                 1.5547,             0.00090969,             0.00090969,             0.00090969
                    112,                0.97941,                0.74642,                 1.1999,                0.89999,                0.80276,                0.89225,                0.59551,                  1.268,                0.75142,                  1.512,             0.00090659,             0.00090659,             0.00090659
                    113,                0.94872,                 0.6869,                 1.1734,                0.90925,                0.85815,                 0.9154,                0.61708,                 1.2267,                0.71028,                 1.5155,              0.0009035,              0.0009035,              0.0009035
                    114,                0.96759,                0.71394,                 1.1785,                0.88609,                0.76415,                0.86064,                0.55682,                  1.237,                0.76798,                 1.5074,             0.00090041,             0.00090041,             0.00090041
                    115,                0.96133,                0.72255,                 1.1675,                0.85977,                 0.7465,                0.85289,                0.54941,                  1.352,                0.82204,                 1.6396,             0.00089731,             0.00089731,             0.00089731
                    116,                0.93779,                0.71132,                 1.1742,                0.88136,                0.82894,                0.86861,                0.56309,                 1.2588,                0.71305,                 1.5517,             0.00089422,             0.00089422,             0.00089422
                    117,                 0.9447,                0.70508,                 1.1562,                0.85823,                0.84482,                0.87215,                0.56462,                 1.2718,                0.72862,                 1.5511,             0.00089112,             0.00089112,             0.00089112
                    118,                0.98337,                0.75728,                 1.2041,                0.85279,                0.77229,                0.87179,                0.57581,                 1.2564,                0.74144,                 1.5316,             0.00088803,             0.00088803,             0.00088803
                    119,                0.97112,                0.72679,                 1.1816,                0.86518,                0.75819,                0.87804,                0.58718,                 1.2617,                0.78413,                 1.5229,             0.00088494,             0.00088494,             0.00088494
                    120,                 0.9595,                 0.7076,                 1.1805,                0.88154,                0.84662,                0.89755,                0.59451,                 1.2249,                0.69714,                 1.4908,             0.00088184,             0.00088184,             0.00088184
                    121,                0.94746,                0.71959,                 1.1638,                0.80626,                0.77913,                0.84857,                0.54844,                  1.296,                0.78927,                  1.547,             0.00087875,             0.00087875,             0.00087875
                    122,                0.94575,                0.70876,                 1.1622,                0.89291,                0.80412,                0.91163,                0.62267,                 1.2073,                0.69421,                 1.4905,             0.00087566,             0.00087566,             0.00087566
                    123,                0.92037,                0.70163,                 1.1548,                0.87862,                0.81723,                0.89352,                0.59214,                 1.2732,                0.77042,                 1.5448,             0.00087256,             0.00087256,             0.00087256
                    124,                0.92588,                0.68676,                 1.1469,                0.90853,                0.85526,                0.93952,                0.61293,                 1.2422,                0.67759,                  1.502,             0.00086947,             0.00086947,             0.00086947
                    125,                0.92118,                0.69277,                 1.1565,                0.94353,                 0.8006,                0.90412,                0.60327,                 1.2132,                0.71372,                 1.4849,             0.00086637,             0.00086637,             0.00086637
                    126,                0.88549,                 0.6736,                 1.1336,                0.87502,                0.79126,                0.91306,                0.61853,                 1.2322,                0.70658,                 1.5106,             0.00086328,             0.00086328,             0.00086328
                    127,                0.92725,                0.71538,                 1.1691,                0.92173,                0.79669,                0.88907,                 0.5926,                  1.293,                0.75418,                   1.54,             0.00086019,             0.00086019,             0.00086019
                    128,                0.91601,                0.66889,                   1.15,                0.84769,                0.82409,                0.89327,                0.61464,                  1.254,                0.76685,                 1.5306,             0.00085709,             0.00085709,             0.00085709
                    129,                0.94051,                0.71083,                 1.1625,                0.90951,                0.85425,                0.92125,                0.62384,                 1.2368,                0.71413,                 1.5055,               0.000854,               0.000854,               0.000854
                    130,                0.91023,                0.66593,                 1.1425,                0.89914,                0.83017,                0.90565,                0.60415,                 1.2942,                 0.7817,                 1.5524,             0.00085091,             0.00085091,             0.00085091
                    131,                0.97092,                0.70489,                  1.177,                0.85925,                0.77339,                0.86684,                0.56289,                 1.3511,                0.83786,                 1.6512,             0.00084781,             0.00084781,             0.00084781
                    132,                0.95784,                0.71177,                  1.175,                0.91026,                0.83417,                0.89735,                0.60406,                 1.2442,                0.70176,                 1.4965,             0.00084472,             0.00084472,             0.00084472
                    133,                0.94362,                0.72174,                 1.1758,                0.89353,                0.83525,                0.89354,                0.59105,                 1.2711,                0.72753,                   1.52,             0.00084162,             0.00084162,             0.00084162
                    134,                 0.9432,                0.71036,                 1.1798,                0.89494,                0.88715,                0.93813,                0.62869,                 1.2662,                0.67999,                 1.5272,             0.00083853,             0.00083853,             0.00083853
                    135,                0.94699,                0.70942,                  1.165,                0.90503,                0.83661,                0.89891,                0.60786,                 1.2059,                0.67961,                 1.4645,             0.00083544,             0.00083544,             0.00083544
                    136,                0.91391,                0.68459,                 1.1458,                0.90844,                0.81073,                0.92422,                0.63551,                 1.2251,                0.70553,                 1.4757,             0.00083234,             0.00083234,             0.00083234
                    137,                0.94316,                0.70692,                 1.1664,                0.92753,                0.82999,                0.91781,                0.62649,                 1.3023,                0.73629,                 1.5671,             0.00082925,             0.00082925,             0.00082925
                    138,                0.94116,                0.71855,                 1.1588,                0.85956,                0.82968,                0.87622,                0.59153,                 1.2727,                0.71222,                 1.5666,             0.00082616,             0.00082616,             0.00082616
                    139,                0.89872,                  0.697,                 1.1387,                0.87741,                0.84132,                0.89527,                0.60665,                 1.2652,                0.74236,                 1.5436,             0.00082306,             0.00082306,             0.00082306
                    140,                0.92934,                0.70281,                 1.1609,                0.88768,                 0.8282,                0.89637,                0.58575,                 1.2911,                0.74935,                 1.5862,             0.00081997,             0.00081997,             0.00081997
                    141,                0.91451,                0.68018,                 1.1639,                0.90214,                0.80086,                0.90888,                0.62078,                 1.2422,                0.72683,                 1.5023,             0.00081688,             0.00081688,             0.00081688
                    142,                0.86022,                0.65407,                 1.1258,                0.90507,                 0.8763,                0.94819,                0.66095,                 1.1813,                 0.6318,                 1.4696,             0.00081378,             0.00081378,             0.00081378
                    143,                 0.8613,                0.62836,                 1.1084,                0.90919,                0.84094,                0.88924,                 0.6235,                 1.1893,                 0.6654,                 1.4575,             0.00081069,             0.00081069,             0.00081069
                    144,                0.91021,                 0.6782,                 1.1345,                0.93211,                0.85118,                 0.8971,                0.61103,                 1.1881,                0.66443,                 1.4694,             0.00080759,             0.00080759,             0.00080759
                    145,                0.93689,                0.68536,                 1.1577,                0.89146,                0.73917,                0.87784,                0.53325,                 1.4172,                0.84847,                   1.65,              0.0008045,              0.0008045,              0.0008045
                    146,                0.88882,                0.66954,                 1.1324,                0.91306,                0.83545,                 0.8942,                0.62926,                 1.1869,                0.64868,                 1.4424,             0.00080141,             0.00080141,             0.00080141
